CHR	START	END	INFO
chr4	55991762	55991962	uc003has.3_up_200_chr4_55991763_r
chr4	55991762	55991962	uc003hat.1_up_200_chr4_55991763_r
chr4	110833839	110834039	uc003hzy.4_up_200_chr4_110833840_f
chr4	123747662	123747862	uc003iev.1_up_200_chr4_123747663_f
chr4	110901632	110901832	uc010imk.3_up_200_chr4_110901633_f
chr4	55991762	55991962	uc011bzx.2_up_200_chr4_55991763_r
chr4	110833839	110834039	uc011cfu.2_up_200_chr4_110833840_f
chr4	110833839	110834039	uc011cfv.2_up_200_chr4_110833840_f
chr5	142000920	142001120	uc003lmm.4_up_200_chr5_142000921_r
chr5	142066060	142066260	uc003lmn.5_up_200_chr5_142066061_r
chr5	142066060	142066260	uc003lmp.5_up_200_chr5_142066061_r
chr5	142077635	142077835	uc003lmq.3_up_200_chr5_142077636_r
chr5	142077635	142077835	uc003lmr.3_up_200_chr5_142077636_r
chr5	142077635	142077835	uc003lms.4_up_200_chr5_142077636_r
chr5	142077635	142077835	uc010jgj.3_up_200_chr5_142077636_r
chr5	141993726	141993926	uc011dbi.2_up_200_chr5_141993727_r
chr5	142077635	142077835	uc021yew.1_up_200_chr5_142077636_r
chr5	142000920	142001120	uc031slj.1_up_200_chr5_142000921_r
chr5	142023866	142024066	uc031slk.1_up_200_chr5_142023867_r
chr5	142065268	142065468	uc031sll.1_up_200_chr5_142065269_r
chr5	142065268	142065468	uc031slm.1_up_200_chr5_142065269_r
chr5	142065268	142065468	uc031sln.1_up_200_chr5_142065269_r
chr5	142066060	142066260	uc031slo.1_up_200_chr5_142066061_r
chr11	535550	535750	uc001lpv.3_up_200_chr11_535551_r
chr11	2182439	2182639	uc001lvn.2_up_200_chr11_2182440_r
chr11	2182439	2182639	uc001lvo.1_up_200_chr11_2182440_r
chr11	2182218	2182418	uc009ydg.1_up_200_chr11_2182219_r
chr11	535550	535750	uc010qvw.2_up_200_chr11_535551_r
chr11	535550	535750	uc010qvx.2_up_200_chr11_535551_r
chr11	535550	535750	uc010qvy.2_up_200_chr11_535551_r
chr11	2182439	2182639	uc021qcd.1_up_200_chr11_2182440_r
chr14	105238058	105238258	uc001ypj.3_up_200_chr14_105238059_r
chr14	105259938	105260138	uc001ypk.3_up_200_chr14_105259939_r
chr14	105259938	105260138	uc001ypl.3_up_200_chr14_105259939_r
chr14	105262080	105262280	uc001ypm.3_up_200_chr14_105262081_r
chr14	105262080	105262280	uc001ypn.3_up_200_chr14_105262081_r
chr14	105260528	105260728	uc010axa.3_up_200_chr14_105260529_r
chr14	105244015	105244215	uc010tyk.2_up_200_chr14_105244016_r
chr15	99192560	99192760	uc002bul.3_up_200_chr15_99192561_f
chr15	99192560	99192760	uc010bon.3_up_200_chr15_99192561_f
chr15	99467553	99467753	uc010boo.1_up_200_chr15_99467554_f
chr15	99192560	99192760	uc010urq.2_up_200_chr15_99192561_f
chr15	99454343	99454543	uc010urr.1_up_200_chr15_99454344_f
chr19	7294011	7294211	uc002mgd.1_up_200_chr19_7294012_r
chr19	7294011	7294211	uc002mge.1_up_200_chr19_7294012_r
chr19	7294011	7294211	uc002mgf.3_up_200_chr19_7294012_r
