CHR	START	END	INFO
chr1	3568928	3569128	uc001akp.3_up_200_chr1_3568929_f
chr1	3607035	3607235	uc001akr.3_up_200_chr1_3607036_f
chr1	3607035	3607235	uc001aks.3_up_200_chr1_3607036_f
chr1	76251678	76251878	uc001dgy.2_up_200_chr1_76251679_f
chr1	76259515	76259715	uc001dhc.2_up_200_chr1_76259516_f
chr1	224033674	224033874	uc001hod.3_up_200_chr1_224033675_r
chr1	3607035	3607235	uc009vlk.2_up_200_chr1_3607036_f
chr1	3614409	3614609	uc009vll.3_up_200_chr1_3614410_f
chr1	76251678	76251878	uc009wbt.2_up_200_chr1_76251679_f
chr1	3607035	3607235	uc010nzj.2_up_200_chr1_3607036_f
chr1	3614409	3614609	uc010nzk.2_up_200_chr1_3614410_f
chr1	3643841	3644041	uc010nzl.2_up_200_chr1_3643842_f
chr1	223988512	223988712	uc010puz.2_up_200_chr1_223988513_r
chr1	223990438	223990638	uc010pva.2_up_200_chr1_223990439_r
chr1	224033674	224033874	uc010pvb.2_up_200_chr1_224033675_r
chr1	3568928	3569128	uc021ofb.1_up_200_chr1_3568929_f
chr1	3568928	3569128	uc021ofc.1_up_200_chr1_3568929_f
chr1	3568928	3569128	uc021ofd.1_up_200_chr1_3568929_f
chr1	3568928	3569128	uc021ofe.1_up_200_chr1_3568929_f
chr1	3568928	3569128	uc021off.1_up_200_chr1_3568929_f
chr1	3607035	3607235	uc021ofg.1_up_200_chr1_3607036_f
chr1	3607035	3607235	uc021ofh.1_up_200_chr1_3607036_f
chr1	3607035	3607235	uc021ofi.1_up_200_chr1_3607036_f
chr2	24307201	24307401	uc002rex.2_up_200_chr2_24307202_r
chr2	24308085	24308285	uc002rey.2_up_200_chr2_24308086_r
chr2	24308085	24308285	uc002rez.2_up_200_chr2_24308086_r
chr2	32489949	32490149	uc002roi.3_up_200_chr2_32489950_r
chr2	32490812	32491012	uc002roj.2_up_200_chr2_32490813_r
chr2	119981183	119981383	uc002tlp.3_up_200_chr2_119981184_f
chr2	119981183	119981383	uc002tlq.3_up_200_chr2_119981184_f
chr2	119981183	119981383	uc002tlr.3_up_200_chr2_119981184_f
chr2	202047420	202047620	uc002uxi.1_up_200_chr2_202047421_f
chr2	202047420	202047620	uc002uxj.1_up_200_chr2_202047421_f
chr2	202047420	202047620	uc002uxk.1_up_200_chr2_202047421_f
chr2	202047420	202047620	uc002uxl.2_up_200_chr2_202047421_f
chr2	202047420	202047620	uc002uxm.2_up_200_chr2_202047421_f
chr2	32490812	32491012	uc010ezt.2_up_200_chr2_32490813_r
chr2	119981183	119981383	uc010fle.3_up_200_chr2_119981184_f
chr2	202047420	202047620	uc010fta.1_up_200_chr2_202047421_f
chr2	202047420	202047620	uc010ftb.2_up_200_chr2_202047421_f
chr2	24308085	24308285	uc010ykk.2_up_200_chr2_24308086_r
chr2	202047420	202047620	uc010zhn.1_up_200_chr2_202047421_f
chr2	32490689	32490889	uc021vfq.1_up_200_chr2_32490690_r
chr3	187454285	187454485	uc003frp.3_up_200_chr3_187454286_r
chr3	187463513	187463713	uc003frq.2_up_200_chr3_187463514_r
chr3	189349015	189349215	uc003frx.2_up_200_chr3_189349016_f
chr3	189349015	189349215	uc003fry.2_up_200_chr3_189349016_f
chr3	189349015	189349215	uc003frz.2_up_200_chr3_189349016_f
chr3	189507248	189507448	uc003fsa.2_up_200_chr3_189507249_f
chr3	189507248	189507448	uc003fsb.2_up_200_chr3_189507249_f
chr3	189507248	189507448	uc003fsc.2_up_200_chr3_189507249_f
chr3	189507248	189507448	uc003fsd.2_up_200_chr3_189507249_f
chr3	189525860	189526060	uc003fse.1_up_200_chr3_189525861_f
chr3	187454285	187454485	uc010hza.2_up_200_chr3_187454286_r
chr3	189349015	189349215	uc010hzc.1_up_200_chr3_189349016_f
chr3	189507248	189507448	uc010hzd.1_up_200_chr3_189507249_f
chr3	187452695	187452895	uc011bsf.1_up_200_chr3_187452696_r
